"","OTU","Phylum","Class","Order","Family","Subfamily","Genus","Species","Taxon Similarity","Sequences","Dereplicates","PreClusters","Dereplication Reduction (%)","Preclustering Reduction (%)","Length","GC Composition","MID","name"
"15","OTU1",NA,NA,NA,NA,NA,NA,NA,0,53,2,1,96.23,50,120.09,22.56,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"16","OTU2",NA,NA,NA,NA,NA,NA,NA,0,50,3,1,94,66.67,108.9,28.1,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"17","OTU3","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,37,2,2,94.59,0,457.84,39.53,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"18","OTU4",NA,NA,NA,NA,NA,NA,NA,0,30,2,1,93.33,50,458,32.89,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"19","OTU5",NA,NA,NA,NA,NA,NA,NA,0,21,1,1,95.24,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"20","OTU6",NA,NA,NA,NA,NA,NA,NA,0,19,2,1,89.47,50,457.74,33.86,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"21","OTU8","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,95.18,13,2,2,84.62,0,458,34.62,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"22","OTU7",NA,NA,NA,NA,NA,NA,NA,0,13,1,1,92.31,0,124,23.39,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"23","OTU9",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,35.15,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"24","OTU10",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,169,32.54,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"25","OTU11",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,148,29.05,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"26","OTU12","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Macronematinae","Leptonema","Leptonema sp. gmycC51",97.81,7,1,1,85.71,0,458,38.65,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"27","OTU14","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA,NA,91.9,5,1,1,80,0,457,29.98,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"28","OTU15",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,217,36.41,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"29","OTU16","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA,NA,97.58,5,1,1,80,0,458,34.06,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"30","OTU13","Arthropoda","Insecta","Lepidoptera","Erebidae","Boletobiinae","Prosoparia","Prosoparia tenebrosa",90.81,5,1,1,80,0,458,37.99,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"31","OTU1",NA,NA,NA,NA,NA,NA,NA,0,59,1,1,98.31,0,120,22.5,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"32","OTU2",NA,NA,NA,NA,NA,NA,NA,0,48,1,1,97.92,0,124,23.39,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"33","OTU3",NA,NA,NA,NA,NA,NA,NA,0,30,3,1,90,66.67,457.83,32.94,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"34","OTU4","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,22,1,1,95.45,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"35","OTU5",NA,NA,NA,NA,NA,NA,NA,0,21,1,1,95.24,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"36","OTU6",NA,NA,NA,NA,NA,NA,NA,0,17,2,1,88.24,50,458.41,33.81,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"37","OTU8",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,109,27.52,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"38","OTU7",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,458,35.15,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"39","OTU9","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,95.18,10,2,2,80,0,458,34.61,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"40","OTU10","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Macronematinae","Leptonema","Leptonema sp. gmycC51",97.81,6,1,1,83.33,0,457,38.73,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"41","OTU11","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,94.53,6,1,1,83.33,0,458,32.31,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"42","OTU12",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,36.68,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"43","OTU1",NA,NA,NA,NA,NA,NA,NA,0,31,3,1,90.32,66.67,457.84,32.94,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"44","OTU2",NA,NA,NA,NA,NA,NA,NA,0,18,2,1,88.89,50,457.44,33.88,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"45","OTU4","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,16,1,1,93.75,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"46","OTU3",NA,NA,NA,NA,NA,NA,NA,0,16,2,1,87.5,50,457.69,35.18,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"47","OTU6","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,95.18,11,2,2,81.82,0,457.55,34.55,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"48","OTU5",NA,NA,NA,NA,NA,NA,NA,0,11,1,1,90.91,0,109,27.52,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"49","OTU8","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Macronematinae","Leptonema","Leptonema sp. gmycC51",97.81,7,1,1,85.71,0,458,38.65,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"50","OTU7",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"51","OTU9",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,124,23.39,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"52","OTU10",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,31.44,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"53","OTU11","Arthropoda","Insecta","Lepidoptera","Pyralidae",NA,NA,NA,91.9,5,1,1,80,0,457,29.98,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"54","OTU12",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,120,22.5,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"55","OTU1",NA,NA,NA,NA,NA,NA,NA,0,359,9,1,97.49,88.89,457.96,32.96,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"56","OTU2",NA,NA,NA,NA,NA,NA,NA,0,100,4,1,96,75,106.81,26.78,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"57","OTU3",NA,NA,NA,NA,NA,NA,NA,0,78,6,1,92.31,83.33,456.44,34.98,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"58","OTU4","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA,NA,90.59,14,2,2,85.71,0,458.43,36.3,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"59","OTU6","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,94.96,9,1,1,88.89,0,458,34.28,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"60","OTU5","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctuinae","Euxoa","Euxoa infracta",95.77,9,1,1,88.89,0,190,28.42,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"61","OTU7",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,131,27.48,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"62","OTU8","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA,NA,92.32,6,1,1,83.33,0,457,27.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"63","OTU9","Arthropoda","Insecta","Hemiptera","Flatidae","Flatinae","Epormenis","Epormenis aripensis",96.05,5,1,1,80,0,458,36.46,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"64","OTU10",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,37.77,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"65","OTU11","Arthropoda","Insecta","Lepidoptera","Crambidae","Spilomelinae","Prenesta","Prenesta sp. 1YB",90.57,5,1,1,80,0,107,28.97,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"66","OTU12",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,107,27.1,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"67","OTU1",NA,NA,NA,NA,NA,NA,NA,0,244,4,1,98.36,75,457.82,32.97,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"68","OTU2",NA,NA,NA,NA,NA,NA,NA,0,46,4,1,91.3,75,456.11,34.91,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"69","OTU3",NA,NA,NA,NA,NA,NA,NA,0,26,1,1,96.15,0,107,27.1,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"70","OTU4",NA,NA,NA,NA,NA,NA,NA,0,14,2,1,85.71,50,192.57,37.91,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"71","OTU5","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctuinae","Euxoa","Euxoa infracta",95.77,13,1,1,92.31,0,190,28.42,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"72","OTU6","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA,NA,90.59,12,1,1,91.67,0,458,36.24,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"73","OTU7","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA,NA,92.32,9,1,1,88.89,0,457,27.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"74","OTU8","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,94.96,8,1,1,87.5,0,458,34.28,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"75","OTU9",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,131,27.48,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"76","OTU10",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,458,32.53,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep2)CCDB-S5-0473)CBGMB-00347.OTU"
"77","OTU1",NA,NA,NA,NA,NA,NA,NA,0,250,6,1,97.6,83.33,457.82,32.97,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"78","OTU2",NA,NA,NA,NA,NA,NA,NA,0,92,3,1,96.74,66.67,106.95,26.69,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"79","OTU3",NA,NA,NA,NA,NA,NA,NA,0,61,5,1,91.8,80,456.61,34.94,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"80","OTU4","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,NA,94.53,7,1,1,85.71,0,458,32.31,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"81","OTU6","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,NA,94.79,5,1,1,80,0,458,35.15,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"82","OTU7","Arthropoda","Insecta","Lepidoptera","Geometridae","Ennominae","Epimecis","Epimecis conjugaria",97.15,5,1,1,80,0,458,29.48,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"83","OTU5",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,176,35.8,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep3)CCDB-S5-0473)CBGMB-00347.OTU"
"84","OTU1",NA,NA,NA,NA,NA,NA,NA,0,216,4,1,98.15,75,457.86,32.98,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"85","OTU2",NA,NA,NA,NA,NA,NA,NA,0,42,3,1,92.86,66.67,106.88,26.96,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"86","OTU3",NA,NA,NA,NA,NA,NA,NA,0,40,1,1,97.5,0,457,35.01,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"87","OTU4","Arthropoda","Insecta","Lepidoptera","Noctuidae",NA,NA,NA,92.32,8,1,1,87.5,0,457,27.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"88","OTU6",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,101,28.71,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"89","OTU5",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,176,35.23,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"90","OTU8","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctuinae","Euxoa","Euxoa infracta",95.77,5,1,1,80,0,190,28.42,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"91","OTU9",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,404,28.71,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"92","OTU7","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA,NA,90.59,5,1,1,80,0,458,36.24,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-B_Rep4)CCDB-S5-0473)CBGMB-00347.OTU"
"93","OTU1","Arthropoda","Insecta","Hemiptera","Fulgoridae",NA,"Pterodictya","Pterodictya reticularis",91.85,2497,45,45,98.2,0,457.55,33.43,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"94","OTU2",NA,NA,NA,NA,NA,NA,NA,0,325,9,1,97.23,88.89,457.57,36.27,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"95","OTU3","Arthropoda","Insecta","Hemiptera",NA,NA,NA,NA,90.03,186,8,2,95.7,75,455.47,32.15,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"96","OTU4",NA,NA,NA,NA,NA,NA,NA,0,140,2,1,98.57,50,106.89,31.81,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"97","OTU5",NA,NA,NA,NA,NA,NA,NA,0,74,3,1,95.95,66.67,106.77,27.16,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"98","OTU6",NA,NA,NA,NA,NA,NA,NA,0,60,2,1,96.67,50,128,29.09,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"99","OTU7",NA,NA,NA,NA,NA,NA,NA,0,39,2,1,94.87,50,176.82,27.15,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"100","OTU8",NA,NA,NA,NA,NA,NA,NA,0,30,3,1,90,66.67,457.83,33.81,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"101","OTU9",NA,NA,NA,NA,NA,NA,NA,0,23,4,1,82.61,75,458.22,37.46,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"102","OTU10",NA,NA,NA,NA,NA,NA,NA,0,16,2,1,87.5,50,458,34.62,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"103","OTU11",NA,NA,NA,NA,NA,NA,NA,0,14,1,1,92.86,0,113,40.71,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"104","OTU12",NA,NA,NA,NA,NA,NA,NA,0,13,1,1,92.31,0,185,34.59,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"105","OTU14",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,156,32.69,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"106","OTU13","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,10,1,1,90,0,458,39.52,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"107","OTU15",NA,NA,NA,NA,NA,NA,NA,0,9,1,1,88.89,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"108","OTU16",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,35.81,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"109","OTU17",NA,NA,NA,NA,NA,NA,NA,0,7,1,1,85.71,0,185,34.05,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"110","OTU18","Arthropoda","Insecta","Hemiptera","Fulgoridae",NA,"Pterodictya","Pterodictya reticularis",90.99,6,1,1,83.33,0,458,33.41,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"111","OTU19",NA,NA,NA,NA,NA,NA,NA,0,6,1,1,83.33,0,119,42.86,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"112","OTU20","Arthropoda","Insecta","Hemiptera","Fulgoridae",NA,"Pterodictya","Pterodictya reticularis",90.55,6,1,1,83.33,0,458,33.62,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"113","OTU21","Arthropoda","Insecta","Hemiptera","Fulgoridae",NA,"Pterodictya","Pterodictya reticularis",90.33,5,1,1,80,0,458,33.41,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"114","OTU23","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctiinae","Melese","Melese sixola",95.19,5,1,1,80,0,458,29.91,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
"115","OTU22","Arthropoda","Insecta","Lepidoptera","Crambidae","Spilomelinae","Spilomelinae_genus","Spilomelinae_genus sp. 60YB",90.45,5,1,1,80,0,157,31.85,0,"MBR-CYB002.DNA-LT-ARM2-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU"
